comportamento_clean,comportamento_canonico,canonical_behavior_id,comportamento_famiglia_originale,comportamento_famiglia,comportamento_famiglia_v2,comportamento_sottofamiglia_v2,meccanismo_rischio_v2,presidio_v2,severity_rank_v2,taxonomy_source,taxonomy_confidence,comportamento_tipo,row_count_kept,raw_variants_count,raw_variants,canonical_cluster_size,canonical_row_count_total,old_family_conflict,old_families_cluster,merge_source,merge_confidence,merge_note,review_flag
Il manutentore ha tre punti di appoggio,Il manutentore ha tre punti di appoggio,BEH_IL_MANUTENTORE_HA_TRE_PUNTI_DI_APPOGGIO_142357,Lavori Speciali / Accessi,Interferenze / Coordinamento,Interferenze / Coordinamento,Interferenza persone-attività/mezzi,Investimento / urto / accesso non controllato,Separazione aree e distanza di sicurezza,2,rule_v2,high,behavior,113,1,Il manutentore ha tre punti di appoggio,1,113,no,Lavori Speciali / Accessi,self,self,Nessun alias identificato.,
Indossa la cintura porta attrezzi chiusa,Indossa la cintura porta-attrezzi chiusa,BEH_INDOSSA_LA_CINTURA_PORTA_ATTREZZI_CHIUSA_015F67,Lavori Speciali / Accessi,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,Abbigliamento / protezione personale,Esposizione personale non protetta,Uso DPI/abbigliamento idoneo,2,rule_v2,high,behavior,92,1,Indossa la cintura porta attrezzi chiusa,2,113,no,Lavori Speciali / Accessi,semantic_rule,high,Accorpa porta attrezzi / porta-attrezzi.,
Indossa la cintura porta-attrezzi chiusa,Indossa la cintura porta-attrezzi chiusa,BEH_INDOSSA_LA_CINTURA_PORTA_ATTREZZI_CHIUSA_015F67,Lavori Speciali / Accessi,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,Abbigliamento / protezione personale,Esposizione personale non protetta,Uso DPI/abbigliamento idoneo,2,rule_v2,high,behavior,21,1,Indossa la cintura porta-attrezzi chiusa,2,113,no,Lavori Speciali / Accessi,semantic_rule,high,Accorpa porta attrezzi / porta-attrezzi.,
"Monta lenti a pressione secondo metodo, effettuando la corretta rotazione del pollice e del polso","Monta lenti a pressione secondo metodo, effettuando la corretta rotazione del pollice e del polso",BEH_MONTA_LENTI_A_PRESSIONE_SECONDO_METODO_EFFETTUANDO_LA_CORR_139E4C,Movimentazione Manuale / Ergonomia,Ergonomia / Movimentazione manuale,Ergonomia / Movimentazione manuale,Postura / movimentazione manuale,Sovraccarico muscolo-scheletrico,Postura e movimentazione corretta,3,old_family_fallback_v2,medium,behavior,113,1,"Monta lenti a pressione secondo metodo, effettuando la corretta rotazione del pollice e del polso",1,113,no,Movimentazione Manuale / Ergonomia,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Preleva materiale dagli scaffali ad un'altezza inferiore delle spalle,Preleva materiale dagli scaffali ad un'altezza inferiore delle spalle,BEH_PRELEVA_MATERIALE_DAGLI_SCAFFALI_AD_UN_ALTEZZA_INFERIORE_D_58DF81,Stoccaggio / Materiali,Stoccaggio / Materiali / Layout,Stoccaggio / Materiali / Layout,Materiali / scaffali / bancali,Caduta materiale / ingombro / urto,Stoccaggio e layout sicuro,3,rule_v2,high,behavior,113,1,Preleva materiale dagli scaffali ad un'altezza inferiore delle spalle,1,113,no,Stoccaggio / Materiali,self,self,Nessun alias identificato.,
Si avvale dell'aiuto di colleghi per controllare il percorso durante lo spostamento di macchine impianti e materiali,Si avvale dell'aiuto di colleghi per controllare il percorso durante lo spostamento di macchine impianti e materiali,BEH_SI_AVVALE_DELL_AIUTO_DI_COLLEGHI_PER_CONTROLLARE_IL_PERCOR_46CF58,Stoccaggio / Materiali,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,rule_v2,high,behavior,113,1,Si avvale dell'aiuto di colleghi per controllare il percorso durante lo spostamento di macchine impianti e materiali,1,113,no,Stoccaggio / Materiali,self,self,Nessun alias identificato.,
Carica/scarica senza persone nel raggio di azione del mezzo,Carica/scarica senza persone nel raggio di azione del mezzo,BEH_CARICA_SCARICA_SENZA_PERSONE_NEL_RAGGIO_DI_AZIONE_DEL_MEZZ_CE1D61,Carrelli / Transpallet / Mezzi,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Uso carrelli/transpallet/gabbie,Urto / investimento / perdita controllo mezzo,Uso e manovra sicura mezzi manuali,2,old_family_fallback_v2,medium,behavior,112,1,Carica/scarica senza persone nel raggio di azione del mezzo,1,112,no,Carrelli / Transpallet / Mezzi,self,self,Nessun alias identificato.,taxonomy_medium_confidence
I bidoni per stracci e taniche di scarto sono chiusi,I bidoni per stracci e taniche di scarto sono chiusi,BEH_I_BIDONI_PER_STRACCI_E_TANICHE_DI_SCARTO_SONO_CHIUSI_FF9F95,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Gestione sostanze / aspirazione / lavaggi,Contatto chimico / inalazione / incendio,Procedura e presidio sostanze pericolose,1,old_family_fallback_v2,medium,behavior,112,1,I bidoni per stracci e taniche di scarto sono chiusi,1,112,no,Chimici / Aspirazione / Lavaggi,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Avvita appoggiato al banco (non sollevato),Avvita appoggiato al banco (non sollevato),BEH_AVVITA_APPOGGIATO_AL_BANCO_2926B8,Movimentazione Manuale / Ergonomia,Ergonomia / Movimentazione manuale,Ergonomia / Movimentazione manuale,Postura / movimentazione manuale,Sovraccarico muscolo-scheletrico,Postura e movimentazione corretta,3,old_family_fallback_v2,medium,behavior,111,1,Avvita appoggiato al banco (non sollevato),1,111,no,Movimentazione Manuale / Ergonomia,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Lavora con i recipienti chiusi,Lavora con i recipienti chiusi,BEH_LAVORA_CON_I_RECIPIENTI_CHIUSI_E153C1,Stoccaggio / Materiali,Stoccaggio / Materiali / Layout,Stoccaggio / Materiali / Layout,Materiali / scaffali / bancali,Caduta materiale / ingombro / urto,Stoccaggio e layout sicuro,3,old_family_fallback_v2,medium,behavior,111,1,Lavora con i recipienti chiusi,1,111,no,Stoccaggio / Materiali,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Pulisce lo stampo ogni volta che carica un pezzo,Pulisce lo stampo ogni volta che carica un pezzo,BEH_PULISCE_LO_STAMPO_OGNI_VOLTA_CHE_CARICA_UN_PEZZO_B0F390,Ordine / Pulizia / 5S,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,rule_v2,high,behavior,111,1,Pulisce lo stampo ogni volta che carica un pezzo,1,111,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,
"Rivolge il getto d'aria sul pezzo o sul posaggio, non lo punta verso di sé o altre persone","Rivolge il getto d'aria sul pezzo o sul posaggio, non lo punta verso di sé o altre persone",BEH_RIVOLGE_IL_GETTO_D_ARIA_SUL_PEZZO_O_SUL_POSAGGIO_NON_LO_PU_025D2E,Ordine / Pulizia / 5S,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Bloccaggio pezzo / posaggi / morse,Taglio / schiacciamento / perdita controllo pezzo,Bloccaggio e posizionamento sicuro del pezzo,2,rule_v2,high,behavior,111,1,"Rivolge il getto d'aria sul pezzo o sul posaggio, non lo punta verso di sé o altre persone",1,111,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,
Lavora con la rulliera in buono stato,Lavora con la rulliera in buono stato,BEH_LAVORA_CON_LA_RULLIERA_IN_BUONO_STATO_B9320E,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,old_family_fallback_v2,medium,behavior,109,1,Lavora con la rulliera in buono stato,1,109,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Spegne la ruota quando non la utilizza,Spegne la ruota quando non la utilizza,BEH_SPEGNE_LA_RUOTA_QUANDO_NON_LA_UTILIZZA_425E91,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,old_family_fallback_v2,medium,behavior,109,1,Spegne la ruota quando non la utilizza,1,109,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Lavora con il rotolo delle etichette arrotolato,Lavora con il rotolo delle etichette arrotolato,BEH_LAVORA_CON_IL_ROTOLO_DELLE_ETICHETTE_ARROTOLATO_947F45,Ordine / Pulizia / 5S,Ordine / Pulizia / Housekeeping,Ordine / Pulizia / Housekeeping,Postazione / area ordinata e pulita,Inciampo / interferenza / degrado 5S,Housekeeping e 5S,4,old_family_fallback_v2,medium,behavior,107,1,Lavora con il rotolo delle etichette arrotolato,1,107,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Posiziona la sedia davanti alla postazione quando quella accanto è vuota con ruota in funzione,Posiziona la sedia davanti alla postazione quando quella accanto è vuota con ruota in funzione,BEH_POSIZIONA_LA_SEDIA_DAVANTI_ALLA_POSTAZIONE_QUANDO_QUELLA_A_E07962,Movimentazione Manuale / Ergonomia,Ergonomia / Movimentazione manuale,Ergonomia / Movimentazione manuale,Postura da seduto / postazione,Sovraccarico muscolo-scheletrico,Postura corretta e assetto postazione,3,rule_v2,high,behavior,107,1,Posiziona la sedia davanti alla postazione quando quella accanto è vuota con ruota in funzione,1,107,no,Movimentazione Manuale / Ergonomia,self,self,Nessun alias identificato.,
Sale/scende le scale a libro stando al di sotto dei pioli rossi,Sale/scende le scale a libro stando al di sotto dei pioli rossi,BEH_SALE_SCENDE_LE_SCALE_A_LIBRO_STANDO_AL_DI_SOTTO_DEI_PIOLI__5E05E3,Lavori Speciali / Accessi,Accessi / Scale / Lavori in quota,Accessi / Scale / Lavori in quota,Scale / accessi,Caduta dall’alto / caduta su scale,Uso corretto scala/accesso,1,rule_v2,high,behavior,107,1,Sale/scende le scale a libro stando al di sotto dei pioli rossi,1,107,no,Lavori Speciali / Accessi,self,self,Nessun alias identificato.,
I pallet vuoti sono impilati,I pallet vuoti sono impilati,BEH_I_PALLET_VUOTI_SONO_IMPILATI_B1B50E,Spostamenti / Trasporto / Stoccaggio,Stoccaggio / Materiali / Layout,Stoccaggio / Materiali / Layout,Impilamento / stabilità / perimetro,Caduta materiale / urto / schiacciamento,Stoccaggio stabile e entro perimetro,2,rule_v2,high,behavior,106,1,I pallet vuoti sono impilati,1,106,no,Spostamenti / Trasporto / Stoccaggio,self,self,Nessun alias identificato.,
Le trance sono libere da accumulo di bave,Le trance sono libere da accumulo di bave,BEH_LE_TRANCE_SONO_LIBERE_DA_ACCUMULO_DI_BAVE_5334FF,Produzione / Processo,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Processo produttivo / standard operativo,Urto / schiacciamento / perdita controllo processo,Standard operativo sicuro,2,old_family_fallback_v2,medium,behavior,106,1,Le trance sono libere da accumulo di bave,1,106,no,Produzione / Processo,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Mette il fermo anti-ribaltamento quando usa la piastra mobile,Mette il fermo anti-ribaltamento quando usa la piastra mobile,BEH_METTE_IL_FERMO_ANTI_RIBALTAMENTO_QUANDO_USA_LA_PIASTRA_MOB_459316,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,rule_v2,high,behavior,80,1,Mette il fermo anti-ribaltamento quando usa la piastra mobile,2,106,yes,Macchine / Sicurezze / Attrezzaggio | Produzione / Processo,semantic_rule,high,Accorpa grafia anti-ribaltamento.,old_family_conflict
Mette il fermo anti-ribaltamento quando usa la piastra mobile,Mette il fermo anti-ribaltamento quando usa la piastra mobile,BEH_METTE_IL_FERMO_ANTI_RIBALTAMENTO_QUANDO_USA_LA_PIASTRA_MOB_459316,Produzione / Processo,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,rule_v2,high,behavior,26,1,Mette il fermo anti-ribaltamento quando usa la piastra mobile,2,106,yes,Macchine / Sicurezze / Attrezzaggio | Produzione / Processo,semantic_rule,high,Accorpa grafia anti-ribaltamento.,old_family_conflict
Chiude l'aria quando non la usa,Chiude l'aria quando non la usa,BEH_CHIUDE_L_ARIA_QUANDO_NON_LA_USA_082723,Utensili / Taglio / Aria Compressa,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Utensili manuali / taglio / aria compressa,Taglio / puntura / proiezione,Uso corretto attrezzatura,2,old_family_fallback_v2,medium,behavior,105,1,Chiude l'aria quando non la usa,1,105,no,Utensili / Taglio / Aria Compressa,self,self,Nessun alias identificato.,taxonomy_medium_confidence
I recipienti sono chiusi subito dopo l'uso,I recipienti sono chiusi subito dopo l'uso,BEH_I_RECIPIENTI_SONO_CHIUSI_SUBITO_DOPO_L_USO_061FC5,Stoccaggio / Materiali,Stoccaggio / Materiali / Layout,Stoccaggio / Materiali / Layout,Materiali / scaffali / bancali,Caduta materiale / ingombro / urto,Stoccaggio e layout sicuro,3,old_family_fallback_v2,medium,behavior,105,1,I recipienti sono chiusi subito dopo l'uso,1,105,no,Stoccaggio / Materiali,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Nella manipolazione di lenti in cristallo indossa i guanti antitaglio,Nella manipolazione di lenti in cristallo indossa i guanti antitaglio,BEH_NELLA_MANIPOLAZIONE_DI_LENTI_IN_CRISTALLO_INDOSSA_I_GUANTI_74A078,DPI mani / protezioni,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI mani / guanti,Taglio / abrasione / schiacciamento mani,Uso corretto guanti,2,rule_v2,high,behavior,105,1,Nella manipolazione di lenti in cristallo indossa i guanti antitaglio,1,105,no,DPI mani / protezioni,self,self,Nessun alias identificato.,
"Prima di accedere alla macchina martellatrice, la mette in modalità manuale","Prima di accedere alla macchina martellatrice, la mette in modalità manuale",BEH_PRIMA_DI_ACCEDERE_ALLA_MACCHINA_MARTELLATRICE_LA_METTE_IN__68A8AD,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,rule_v2,high,behavior,105,1,"Prima di accedere alla macchina martellatrice, la mette in modalità manuale",1,105,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
Guanto spalmato in poliuretano,Guanto spalmato in poliuretano,BEH_GUANTO_SPALMATO_IN_POLIURETANO_B12ED0,DPI mani / protezioni,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI mani / guanti,Taglio / abrasione / schiacciamento mani,Uso corretto guanti,2,rule_v2,high,behavior,104,1,Guanto spalmato in poliuretano,1,104,no,DPI mani / protezioni,self,self,Nessun alias identificato.,
"In presenza di utensili non protetti, l'operatore lavora mantenendo le braccia lontano dal tagliente","In presenza di utensili non protetti, l'operatore lavora mantenendo le braccia lontano dal tagliente",BEH_IN_PRESENZA_DI_UTENSILI_NON_PROTETTI_L_OPERATORE_LAVORA_MA_32B19A,Utensili / Taglio / Aria Compressa,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Utensili manuali / attrezzi,Taglio / puntura / urto,"Uso, stato e riposizione attrezzi",2,rule_v2,high,behavior,103,1,"In presenza di utensili non protetti, l'operatore lavora mantenendo le braccia lontano dal tagliente",1,103,no,Utensili / Taglio / Aria Compressa,self,self,Nessun alias identificato.,
Usa lo spingipezzo in legno o ferro,Usa lo spingipezzo in legno o ferro,BEH_USA_LO_SPINGIPEZZO_IN_LEGNO_O_FERRO_9BCDC4,Manutenzione / Officina,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Bloccaggio pezzo / posaggi / morse,Taglio / schiacciamento / perdita controllo pezzo,Bloccaggio e posizionamento sicuro del pezzo,2,rule_v2,high,behavior,103,1,Usa lo spingipezzo in legno o ferro,1,103,no,Manutenzione / Officina,self,self,Nessun alias identificato.,
Guida con cintura di sicurezza allacciata,Guida con cintura di sicurezza allacciata,BEH_GUIDA_CON_CINTURA_DI_SICUREZZA_ALLACCIATA_37CD3E,Spostamenti / Trasporto / Stoccaggio,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Trasporto / percorsi / stoccaggio operativo,Caduta materiale / urto / investimento,Trasporto e percorso sicuro,2,old_family_fallback_v2,medium,behavior,102,1,Guida con cintura di sicurezza allacciata,1,102,no,Spostamenti / Trasporto / Stoccaggio,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Lavora sotto cappa (cappa accesa),Lavora sotto cappa (cappa accesa),BEH_LAVORA_SOTTO_CAPPA_AA5FB9,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Aspirazione / cappe / ventilazione,Inalazione polveri / vapori / aerosol,"Aspirazione accesa, vicina e funzionante",1,rule_v2,high,behavior,102,1,Lavora sotto cappa (cappa accesa),1,102,no,Chimici / Aspirazione / Lavaggi,self,self,Nessun alias identificato.,
"Carrelli, stoccati fuori dai passaggi","Carrelli, stoccati fuori dai passaggi",BEH_CARRELLI_STOCCATI_FUORI_DAI_PASSAGGI_DAB5FB,Stoccaggio / Materiali,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Parcheggio / posizionamento mezzi e contenitori,Ostruzione passaggi / inciampo / interferenza,Stoccaggio e posizionamento fuori passaggio,3,rule_v2,high,behavior,101,1,"Carrelli, stoccati fuori dai passaggi",1,101,no,Stoccaggio / Materiali,self,self,Nessun alias identificato.,
La boccetta dell'acetone è chiusa quando non viene utilizzata,La boccetta dell'acetone è chiusa quando non viene utilizzata,BEH_LA_BOCCETTA_DELL_ACETONE_E_CHIUSA_QUANDO_NON_VIENE_UTILIZZ_33EB19,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Gestione sostanze / aspirazione / lavaggi,Contatto chimico / inalazione / incendio,Procedura e presidio sostanze pericolose,1,old_family_fallback_v2,medium,behavior,101,1,La boccetta dell'acetone è chiusa quando non viene utilizzata,1,101,no,Chimici / Aspirazione / Lavaggi,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Spinge il carrello a mano,Spinge il carrello a mano,BEH_SPINGE_IL_CARRELLO_A_MANO_2EAE63,Carrelli / Transpallet / Mezzi,Mezzi / Carrelli / Transpallet / Viabilità,Mezzi / Carrelli / Transpallet / Viabilità,Uso carrelli/transpallet/gabbie,Urto / investimento / perdita controllo mezzo,Uso e manovra sicura mezzi manuali,2,rule_v2,high,behavior,101,1,Spinge il carrello a mano,1,101,no,Carrelli / Transpallet / Mezzi,self,self,Nessun alias identificato.,
Svuota il vasetto del colore nel bussolotto vicino alle cappe,Svuota il vasetto del colore nel bussolotto vicino alle cappe,BEH_SVUOTA_IL_VASETTO_DEL_COLORE_NEL_BUSSOLOTTO_VICINO_ALLE_CA_8D5B55,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Gestione sostanze / aspirazione / lavaggi,Contatto chimico / inalazione / incendio,Procedura e presidio sostanze pericolose,1,old_family_fallback_v2,medium,behavior,100,1,Svuota il vasetto del colore nel bussolotto vicino alle cappe,1,100,no,Chimici / Aspirazione / Lavaggi,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Apre il coperchio del vibroburatto con entrambe le mani,Apre il coperchio del vibroburatto con entrambe le mani,BEH_APRE_IL_COPERCHIO_DEL_VIBROBURATTO_CON_ENTRAMBE_LE_MANI_0D80CB,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,old_family_fallback_v2,medium,behavior,99,1,Apre il coperchio del vibroburatto con entrambe le mani,1,99,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Lavora con la griglia superiore del forno libera da oggetti,Lavora con la griglia superiore del forno libera da oggetti,BEH_LAVORA_CON_LA_GRIGLIA_SUPERIORE_DEL_FORNO_LIBERA_DA_OGGETT_CE9F90,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Forni / essiccatori / parti calde,Ustione / schiacciamento / rilascio energia,Uso corretto macchina e chiusure,1,rule_v2,high,behavior,99,1,Lavora con la griglia superiore del forno libera da oggetti,1,99,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
I cassoni dei buratti sono privi di rifiuti (solo legnetti),I cassoni dei buratti sono privi di rifiuti (solo legnetti),BEH_I_CASSONI_DEI_BURATTI_SONO_PRIVI_DI_RIFIUTI_192588,Ordine / Pulizia / 5S,Ordine / Pulizia / Housekeeping,Ordine / Pulizia / Housekeeping,Rifiuti / trucioli / sfridi / contenitori,Inciampo / taglio / contaminazione area,Raccolta e contenimento rifiuti/sfridi,3,rule_v2,high,behavior,97,1,I cassoni dei buratti sono privi di rifiuti (solo legnetti),1,97,no,Ordine / Pulizia / 5S,self,self,Nessun alias identificato.,
Ancora i telai al carico impianto,Ancora i telai al carico impianto,BEH_ANCORA_I_TELAI_AL_CARICO_IMPIANTO_01F48A,Carrelli / Transpallet / Mezzi,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Ganci / telai / morsetti / golfari,Caduta materiale / schiacciamento,"Stato, fissaggio e uso corretto dispositivi di presa",2,rule_v2,high,behavior,96,1,Ancora i telai al carico impianto,1,96,no,Carrelli / Transpallet / Mezzi,self,self,Nessun alias identificato.,
"Nell'apertura della porta del vano buratto, tiene la mano esternamente ai lati e non sopra","Nell'apertura della porta del vano buratto, tiene la mano esternamente ai lati e non sopra",BEH_NELL_APERTURA_DELLA_PORTA_DEL_VANO_BURATTO_TIENE_LA_MANO_E_35039D,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,old_family_fallback_v2,medium,behavior,96,1,"Nell'apertura della porta del vano buratto, tiene la mano esternamente ai lati e non sopra",1,96,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Quando depone le matasse si assicura che il filo sia legato o infilato nella matassa,Quando depone le matasse si assicura che il filo sia legato o infilato nella matassa,BEH_QUANDO_DEPONE_LE_MATASSE_SI_ASSICURA_CHE_IL_FILO_SIA_LEGAT_8A134A,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,old_family_fallback_v2,medium,behavior,96,1,Quando depone le matasse si assicura che il filo sia legato o infilato nella matassa,1,96,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,taxonomy_medium_confidence
Blocca la macchina prima di intervenire,Blocca la macchina prima di intervenire,BEH_BLOCCA_LA_MACCHINA_PRIMA_DI_INTERVENIRE_994B98,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,rule_v2,high,behavior,95,1,Blocca la macchina prima di intervenire,1,95,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
"Usa la pompa per caricare lo sverniciante, non a mano","Usa la pompa per caricare lo sverniciante, non a mano",BEH_USA_LA_POMPA_PER_CARICARE_LO_SVERNICIANTE_NON_A_MANO_8C3744,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Gestione sostanze / lavaggi / travasi,Contatto chimico / inalazione / incendio,Procedura e presidio sostanze pericolose,1,rule_v2,high,behavior,94,1,"Usa la pompa per caricare lo sverniciante, non a mano",1,94,no,Chimici / Aspirazione / Lavaggi,self,self,Nessun alias identificato.,
In fase di attrezzaggio su macchine FELSS rimuove ogni attrezzatura in prossimità della griglia protettiva prima di avviare la macchina in modalità automatica,In fase di attrezzaggio su macchine FELSS rimuove ogni attrezzatura in prossimità della griglia protettiva prima di avviare la macchina in modalità automatica,BEH_IN_FASE_DI_ATTREZZAGGIO_SU_MACCHINE_FELSS_RIMUOVE_OGNI_ATT_A46F9B,Macchine / Sicurezze / Attrezzaggio,Macchine / Organi mobili / Protezioni,Macchine / Organi mobili / Protezioni,Macchine / attrezzaggio / processo sicuro,Contatto con macchina / energia residua / urto,Modalità operativa sicura su macchina,1,rule_v2,high,behavior,93,1,In fase di attrezzaggio su macchine FELSS rimuove ogni attrezzatura in prossimità della griglia protettiva prima di avviare la macchina in modalità automatica,1,93,no,Macchine / Sicurezze / Attrezzaggio,self,self,Nessun alias identificato.,
"Lavora con i contenitori di liquidi infiammabili lontani da fonti di calore, parti in movimento e prese elettriche","Lavora con i contenitori di liquidi infiammabili lontani da fonti di calore, parti in movimento e prese elettriche",BEH_LAVORA_CON_I_CONTENITORI_DI_LIQUIDI_INFIAMMABILI_LONTANI_D_DECC03,Chimici / Aspirazione / Lavaggi,Chimici / Aspirazione / Sostanze pericolose,Chimici / Aspirazione / Sostanze pericolose,Stoccaggio infiammabili,Incendio / esplosione / esposizione chimica,Stoccaggio in armadi/lontano da inneschi,1,rule_v2,high,behavior,93,1,"Lavora con i contenitori di liquidi infiammabili lontani da fonti di calore, parti in movimento e prese elettriche",1,93,no,Chimici / Aspirazione / Lavaggi,self,self,Nessun alias identificato.,
Movimenta telai e morsetti afferrandoli dall'alto in fase di carico,Movimenta telai e morsetti afferrandoli dall'alto in fase di carico,BEH_MOVIMENTA_TELAI_E_MORSETTI_AFFERRANDOLI_DALL_ALTO_IN_FASE__44EDF1,Carrelli / Transpallet / Mezzi,Attrezzature / Utensili / Dispositivi di presa,Attrezzature / Utensili / Dispositivi di presa,Ganci / telai / morsetti / golfari,Caduta materiale / schiacciamento,"Stato, fissaggio e uso corretto dispositivi di presa",2,rule_v2,high,behavior,93,1,Movimenta telai e morsetti afferrandoli dall'alto in fase di carico,1,93,no,Carrelli / Transpallet / Mezzi,self,self,Nessun alias identificato.,
Visiera,Visiera,BEH_VISIERA_01BF17,DPI occhi / viso,DPI / Abbigliamento / Protezione personale,DPI / Abbigliamento / Protezione personale,DPI occhi / viso,Proiezione / schizzi / danno occhi-viso,Uso corretto DPI occhi-viso,2,rule_v2,high,behavior,92,1,Visiera,1,92,no,DPI occhi / viso,self,self,Nessun alias identificato.,
